,hikename,report,index
42,"Burroughs Mountain, Shadow Lake - Sunrise Camp Loop — Washington Trails Association","
Did the loop around Shadow Lake to 1st and 2nd burroughs and then back past frozen lake. There was a bit more gain this way as you go downhill a bit to get to the lake and then you have to go back up. I’ve heard that going this direction is the way to go because of the views of The Mountain on the way up but you would see the same views going down that way and I kinda like that (going the other direction around the loop seeing Frozen Lake 1st) you don’t see much of Rainier until you get to the 1st burroughs and then all of the sudden it’s there.
We saw a small marmot and a few pikas plus plenty of birds and chipmunks.
The sun was still fairly brutal on the way up but it was much colder at the top than it was a week and a half ago so bring layers.

",42
43,"Burroughs Mountain, Wonderland Trail, Sourdough Ridge — Washington Trails Association","
Did a loop of Sunrise -> Sourdough Ridge Trail -> 1st & 2nd Burroughs -> Sunrise Rim Trail* -> Wonderland Trail.  Total distance was about 6mi.
Note: There's no WTA entry for SRT and it isn't even called that on the Mt. Rainier map (see link below). But that's what the trail signs said.  On the map it's the trail from 1st Burroughs back to Sunrise Camp.
Trail conditions: With the exception of parts of the Sunrise Rim Trail I’d say these trails are all in perfect condition which is amazing when you consider the number of people using them.  For SRT there are a few spots along the rock wall that are maybe a little dicey (rocks have fallen down on the path which force you to go closer to the edge of the path where there's a very steep drop).  But that's just in a couple of spots right now.
The majority of this route has no shade so keep that in mind if it's hot outside.  There's only a brief bit after the glacier overlook & before the Wonderland Trail.
Fairly short hike up to 1st Burroughs.  The route looks pretty steep from a distance but it didn't really seem that bad.  Quite a bit of room for lunch @ 1st Burroughs but more space and a MUCH better view at 2nd Burroughs.
Tread lightly up @ 2nd Burroughs. There's no clear trail marked on the top so don't just trample on the plants growing up there.
People:  It was a fairly constant stream from the parking lot all the way to 2nd Burroughs.  It was Labor Day weekend but I was still surprised by the number of people that ventured that far.  But I was surprised on the way down when I found myself practically alone. 
Parking: Got there around 10am on Sunday. There were maybe 15 other cars in front of me which I thought was actually pretty short.  By the time I got up to Sunrise I saw that the lot was already almost full & people were starting to park along the road.  Though I ended up driving further into the lot & found several spots much closer :)
#ProTip  Looked like there were a lot of new hikers on the trail.  Welcome!  You will be MUCH more comfortable hiking in something other than blue jeans.
",43
44,"CCC Road: Campground, CCC Road: Upper Trailhead — Washington Trails Association","
The last time we hiked this trail was almost 14 years ago when it first opened up so we decided to do it again. It was like hiking on a new trail. We parked at the CCC Road: Upper Trailhead parking area on the Middle Fork Road out of North Bend and started our hike by walking up the Middle Fork Road about 0.10 mile to the trailhead for the CCC Trail No. 1264 that goes east to the Middle Fork Campground and the Gateway Bridge parking lot. There is a sign on a tree with the trail name and number. Once up from the road we had a nice view of the river and some of the peaks in the area. We crossed over one small creek blowout then got to the first big blowout area. No water flowing this time of year but it would be roaring during the Spring snow melt. The trail goes through the forest where some areas are brushy and others with the ground covered in moss. We crossed many bridges on our hike with a few creeks still running. The bridges are sturdy since you can ride a horse on this trail. Sometimes the trail is on an old road bed or just a trail. We went through good size second growth conifers with some areas being dog hair hemlock. We crossed another big creek blowout. About 2.5 miles into our hike we came to an area with some really big old growth Red Cedar tree snags. At some time in the past a forest fire had come through the area and burned these trees. They were hollow and one had a trail around it.
Further along the trail it was back on an old road bed heading down hill. At the end of the road part of the trail the trail turns right and switchbacks down the hillside. Where the trail turns right is the junction with the unmaintained trail up to the site of the former Forest Service Nordrum Lookout. This forest fire lookout was built in 1934 a L-4 cabin on a 20' towere and gone in the 1950's. See George's report dated May 24 2017 for more info. The trail then leveled out and crossed over another bridge at the junction with the trail going into the Middle Fork Campground and the main trail heading over to the Gateway Bridge parking lot. We hiked over to the campground and used one of the picnic tables for lunch. The campground is now closed for camping until next Spring. After eating we headed back the way we had come. Never saw any other hikers on our trip. Only one bird and a butterfly. Made for a nice peaceful hike with no crowds.
Note that this hike's name ""CCC Road: Campground"" does not show up on the WTA trail list. The other CCC trails are on the WTA list from the guide book ""Day Hiking Snoqualmie Region"": by Dan Nelson from Mountaineer Books. Guess they missed this one. 
",44
45,Camano Island State Park — Washington Trails Association,"
With the threat of rain we decided to stick to the lowlands and also exercise a hip recovering surgery that my partner is dealing with (and doing quite well at it). We walked north from the boat launch area to check out an out going tide and the beach below the rather unstable looking gravel and sandstone bluffs. This a good area for birding especially sights of raptors but today it was mostly seagulls ducks and crows.
After the walk we returned to the area near the parking lot and found a picnic table with a view across Saratoga Passage to Green Bank on Whidbey Island. Sandwiches and a view.
",45
46,Camp Long — Washington Trails Association,"
Great local day hike that is kid/pet friendly. Lots of tree cover so you aren't out exposed to the sun the whole time. Kids enjoyed climbing on the rock structure and playing tag in the adjacent field.
One bit of caution: we tried to follow the map/GPS to the northern most bend of the loop but the trail thins (almost disappearing) and we found a homeless camp there. I'd recommend avoiding that area. I've uploaded a map marking the area mentioned above (in red) and pathways we found were safe (in green).
",46
47,Camp Muir — Washington Trails Association,"
My first trip report on the WTA.
Hiked up to Camp Muir on 9/9/18. Left the Paradise parking lot around 10:30am and took a little over 3 hours to get to camp. The conditions going up were pretty good and the hike was easier than I had expected. The bootprints on the snowfield makes it pretty straight forward. Coming down was more of a challenge due to the soft snow so I was skiing down with my feet for most of it. I had spikes with me but I didn't bother using them as I think it wouldn't have helped much.

,
I've wanted to hike to Camp Muir almost from the day I moved to Washington. I finally found a willing partner who thankfully convinced me that today would be good for an attempt despite forecasts of possible rain. As it turns out we had the perfect mix of sun and clouds with amazing views of Mount Adams Mount Hood and Mount Saint Helens.
We arrived at Paradise just shy of 7 a.m. Hardly any signs of life in the parking lot. (That would change big time by the time we returned!) In retrospect I think we made a mistake by not heading right into the snow field at Pebble Creek. Instead we tried to stay on dry land and navigate rocky terrain for a bit before getting to the point where we had no choice but to put on microspikes and walk the snow. Personally I felt the snowfield (with microspikes) was easier on my legs than the rocky albeit dry terrain. But with both of us being newcomers to the trail to Camp Muir it was one of the less troublesome rookie mistakes we could have made.
It wasn't until the snowfield that we saw another pair of hikers. That was a welcome sight because it made us feel a bit better about the direction we were headed. From there it was just a matter of going up and up and up. The combination of elevation gain and oxygen loss makes for a great challenge. We finally arrived at Camp Muir after about 2 hours 20 minutes of moving time (according to my Garmin GPS watch). The views were absolutely spectacular. The wind was whipping around enough to make it feel a lot chillier than it had on the way up but the overall conditions were about as good as I could ask for.
The descent was pretty rough on my legs. The snow had softened to ice cream consistency which made it feel like I was doing my sliding than walking. I considered it a major victory to not take a tumble. I was amazed by how many people were trying to navigate the snowfield without microspikes -- including a few guys who were slipping and sliding on basic tennis shoes. I certainly appreciated all the WTA reports that mentioned microspikes and caused me to purchase a pair!
Once back on dry land we encountered a whole lot more people on the trails. All told it took about 1 hour 52 minutes to make it back to the car.
I'm not sure if I'll ever attempt to summit Rainier. But if I do there will be a small measure of confidence in being familiar with the journey to Camp Muir.
,
Hiked camp Muir on September 8th. Micro spikes were essential for me otherwise I would have slipped multiple times. Remember to bring gloves and reapply sunscreen every few hours.Sliding down is fun but be very careful. At one point I almost fell in one of the cracks.
,
Late season hike ft. wild flowers in full bloom specular view above the clouds and glissading in the mix of dirt and slushy snow.


Stats
Ascent: 3h10m (7:45 - 10:55am) 4384ft
Descend: 2h15m (12:53 - 3:10pm) -4452ft
Total moving time: 5h26m
Total distance: 8.34mi
(According to Gaia app)
GPX track: https://www.gaiagps.com/datasummary/track/1c6e51342858d3084633ebbec87a13aa/


Gear
Mountaineering boots / hiking boots
Trekking poles
Sunglasses sunscreen chapstick hat
Gloves puffy jacket
Water snacks/lunch
The remaining 10 essentials
Trail map loaded to phone/GPS
Recommended: ice axe gaiters water filter*
*Some streams below 7600' for water filtering purpose


Hike
Soaked in the sun and enjoyed the views of Mt Adams Hood and St Helens  and massive crevasses at the camp for over two hours.
We beat the holiday (labor day long weekend) crowd by starting early. Arrived at the paradise parking lot at 7:30am packed up and started walking by 7:45am. Ran into less than 10 people on the way up. We packed light (10 essentials traction 2-3L of water) and moved on a moderately fast pace.  
Route finding was very straightforward. Follow the skyline trail until a snowfield. The start of the skyline trail was paved and the became staircase made of rocks. Snow free until 7600' after turning left at the sign and crossing a stream. Trail transitioned from some loose dirt to a snowfield with some obvious boot tracks in a gentle slope. (A few people scrambled up some loose scree to the left which seemed slower and less pleasant compared to the walking up a firm snow slope.) We managed with mountaineering boots and hiking boots with trekking poles to keep a good balance. Some people put on microspikes. They can be helpful depending on your comfort level with snow and I'd pack them to be cautious for snow condition. A few people had crampons which seemed to be an overkill since the snow was not icy and steep enough to be worth the effort of putting them on. Snow was firm at the lower elevation but there was a well kicked in track to follow. Snow was softer higher up; tracks were less obvious and some were ruined by people sliding. 

The last 700' was the most deceiving part of the journey. We saw the camp to the left up there but the boot path traversed around and seemed never ending. 


At the camp we were rewarded with the grand view of Mt Adams (left) Hood (middle) and St Helens (right). 







It's crazy to see how 'broken up' / crevassed the camp was. It was packed with at least 20-30 daily in the prime climb season (July/Aug). We saw 4 tents today and the shelter was completely empty. 

Glissading condition was meh and far from the best it can get at muir. Most of them ended near some big cracks or exposed rocks which added some spice to the mostly flat and short overall glissading experience and made you stay alert. We kept an eye on the chutes on the way up so we kinda knew what to expect at the end of them. First chute ended near a crevasse which was deep but too narrow to fall in as pointed out in a previous report. Clouds started rolling in as we continued glissading but all the chutes were relatively flat speed never picked up and you naturally slowed down at the bottom so you'd plenty of time to react when approaching the rocks/cracks. Come back to muir in June for the best experience (longer steeper and more connected chutes) and dropped elevation all the way from the camp to below the panorama point in no time.







Trail was very crowded with tourists when we were back below 7000' in the Skyline trail. A sunny day during the long weekend not surprising. 


Route 
https://www.mountaineers.org/activities/routes-places/paradise-area-review/camp-muir-anvil-rock


Weather
Mt Rainier recreational forecast:
https://www.atmos.washington.edu/data/rainier_report.html
Mountain forecast:
https://www.mountain-forecast.com/peaks/Mount-Rainier/forecasts/4392

,
Camp Muir: 

We started early to beat the holiday crowds. 
From Paradise it took three hours to get up to Muir. Since it was still early in the day it didn't require spikes but I used trekking poles. 
Getting back down there a few glissade chutes that were usable but nothing too long. Do be careful as there was one that ends near a crevasse and others near rock
Overall the slowest part might have been navigating tourists once getting back to the skyline trail. 

While I personally didn't use my microspikes I'd recommend carrying them. Also always be ready for whiteout. 
,
Arrived at Paradise around 0715 and began our hike by 0745.  I couldn't ask for a better or more ""perfect"" day for this hike.  Camp Muir has been on my bucket list for the last several years.  I was able to talk my beautiful bride of 30 years to come along.  She did awesome!!  Anyways back to the hike.  The first two miles on the Skyline trail was amazing and the views were incredible.  The elevation gain is strenuous but with 40 degree temps kept us cool.  Behind us Mt St Helen popped up and then Mt Adams and just before we got to Pebble Creek Mt Hood was easily recognized.
Be careful crossing over Pebble Creek there are many places to cross but my wife is somewhat shorter and has a smaller stride so we chose to go upstream a little further to find a better spot to cross.  Just on the other side we put on our micro spikes.  This is where the fun began the snowfield seemed to go on forever.  However the incredible views kept us motivated.  Even with mirco spikes you had to watch your footing and ""dig in"" with each step.  As previous reports have mentioned once you see Camp Muir it appears close but its still a good 30-40 minutes up the last 1000 vertical feet.
Once we finally made it up to Muir we felt very welcomed and took in all the sites and spent some time relaxing and taking in a light lunch.  Not to crowded.  I decided to head up to the right and join a couple of hikers on a very large rock formation.  They were very friendly and helped me find the trail going down.  Thank you for the help I may still be on the rock formation if it weren't for the two of you.
We began heading down and the snow started melt a little and we were sliding   even with spikes.  Be very careful going down.  I tried to glissade down several times but the snow was so wet and it made it difficult to get up any speed.  My wife chose to stay on her feet as much as she could.  So again this was a slow process going down.  By now the number of hikers began to increase rather quickly so we were stepping out of the way throughout or descent.  This is where we often slipped and had difficulty.  Definitely watch your footing.
Once past Pebble Creek around 13:00 we began encounter so many hikers.  So the last 2 miles was very crowded going down the Skyline Trail.  Saw several marmots and even a deer near Paradise Inn.  Total trip was about 6.5 hours.  What a hike!  I am so glad we picked today to make this our first trip.  If you do this hike be prepared with lots of sunscreen good poles and spikes.  Also waterproof clothing boots since the snow is so wet.
Be safe and Happy Hiking!

",47
48,Cape Alava Loop (Ozette Triangle) — Washington Trails Association,"
It rained the entire 9.2miles. Wind was very strong for a good portion of the beach hike. Parts of the forest trail were submerged by water
",48
49,Cape Disappointment State Park - North Head Lighthouse and Bell's Overlook — Washington Trails Association,"
Our first trip camping trip to Cape Disappointment - a 2 day trip  and it seemed like it was not enough time to explore the entire state park.  The hike up to the North Head Light House is an easy one - a little over a mile with a gradual elevation gain.  The payoff is spectacular.  The trail was in excellent condition dry and well maintained.  We did see a number of small garter snakes though :)  Beautiful day to visit the light house and surrounding beaches.  
",49
50,Cape Flattery — Washington Trails Association,"
Worth the drive.  The trail is only .5 mile to the end so it is super easy.  The trail was in excellent condition and a good portion of it is elevated.  Also there are several lookouts for photo ops along the trail and a nice observation deck at the trail end.  If you're at this end of the state and haven't been make the stop.  You won't be disappointed.  
",50
51,Capitol State Forest - Porter Falls — Washington Trails Association,"
It's surprising how few of the hikes in the Capitol State Forest are listed here... So I'll make this as thorough as I can...
1st - buy a map - there's a DNR produced one available at REI and from the DNR web site... there's an amazing tangle of roads and trails and Google and our GPS did not always name them correctly... the trail was marked well and road numbers were generally present - as signs or painted on trees at intersections but there were no directional signs to trailheads camping areas or other landmarks on the roads as far as I remember.
Getting there - at the town of Porter on Rt 12 take the Porter Creek Rd north to the State Forest Entrance - the pavement ends at the start of state forest land but all of the roads we drove on were in good condition. Shortly after the road turns to gravel there is a fork - stay left on B0150 to reach the Porter Trail head and Porter Creek Campground. The Porter trail head is located just off of a large crossroad where B Line B0150 and B0400 intersect. There's room for 3 or 4 small vehicles to park off to one side. If that spot is full continue straight for about two tenths of a mile and there's a parking area on the left with a large clearing - take care - it's surfaced with somewhat large rocks rather than gravel but it's not loose and can be drive/parked on - and if you try to avoid it you'll block the horse trailer pull through.
The trail - We did an out and back that covered a little less than 1/2 of the 13 mile trail. The trail head is just off road B0400 - starting to the left through the clear cut area. In about 1/4 mile you'll enter the woods for a short time until crossing a road into another cut but don't despair - it's not all like this - after this first mile or so you'll enter woods again for the rest of your journey. The trail is in great shape. For the most part it's pretty wide and well graded. Even though it climbs steadily there are very few even moderately steep areas. Being used by equestrians and mt bikers the trails are well cleared also - no overgrown or really even brushy areas and nicely surfaced - very minimal mud.  We encounter only one blow down which appeared to be recent. It was a little high for my short legs but still could be clambered over.
On the south side of the Capitol forest the trails are mainly restricted to non-motorized use. The Porter trail allows hikers bikers and horses only. It's much less crowded than the Mima Falls vicinity. We did not encounter any horseback riders a single group of hikers and only a few mt bikers - keep your eyes open - it can be difficult to hear them coming as the trail surface is soft. It was surprisingly quiet - even though atvs and motorbikes are allowed on the roads throughout and on the trails on the north side we only heard motor vehicles a few times. Airplanes were also rare and there are no major roads anywhere near so it was often rather silent. We did hear a little shooting near where we turned around - there's a gravel pit or quarry where shooting is usually permitted close by.. This one bit of quiet may have been less than typical - the people we heard actually shouldn't have been doing it as recreational shooting is on temporary ban because of the dry conditions and threat of forest fire. On a more usual weekend there may be more people out target shooting. 
There were no major views to be had from the trail but it was still a very pleasant and secluded hike and we plan to go back and sample some of the other trails.There were also lots of interesting critters... fully making up for any lack of view :) There are so many roads and trails that making loops would not be difficult - but when planning keep in mind that the map covers a lot more area than a typical Green Trails style hiking map and trail distances (which are marked on the map) are likely to be longer than you expect. 
",51
52,Carbon Glacier — Washington Trails Association,"
The first 5 miles of the trail are suitable for bicycles. That’s an awesome opportunity to try biking the forest road: gravel sandy a little challenging but wide and safe to ride. I can’t describe how much fun we had on our way back! Speed challenges! Since the road has some elevation it was super easy to ride back to the parking lot. If you have bikes don’t miss this amazing opportunity to bike there :)The trail is very easy with a small elevation gain. If I knew that I wouldn’t take my hiking poles (didn’t use them but had to carry some extra weight in my backpack). The trail goes through the forest. Usually I say ""boring"" about the trails that don’t have any open views except for gorgeous final destination. However this hike is different! The forest is very beautiful and diverse: from mossy boulders to deserted fields. Not boring! Beautiful and picturesque! There was also a Suspension Bridge along the trail. It’s something one definitely needs to try walking on. While crossing you’ll have a chance to admire beautiful views of the river and the process of crossing that bridge is fun on its own. I highly recommend!The glacier.. well.. it’s amazing! We were sitting on rocks along the trail had our lunch and admired the beauty of the glacier. It’s amazing! The last part of the trail is open so if you are sensitive to the sun I recommend to take sunscreen.We expected it to be cold close to the glacier and took a lot of warm clothes. Bad decision :) it was super hot and sunny! Overall 1) It’s easy pretty flat beautiful and fun trail2) Take bikes if have them3) Take sunscreen 
",52
53,Cascade Pass and Sahale Arm — Washington Trails Association,"
This is one of the most beautiful trails I have ever hiked. We hiked up to cascade pass and then down to pelton basin the first day. We spent the night at pelton basin campground which is lovely. The second day we climbed back to cascade pass and onwards to sahale arm. I hiked up Sahale arm to the lsla ascent towards the glacier but didn't summit. The hike from the pass to the arm is worth it. Every few steps the view gets even better. There were peaks in every direction. We saw bears deer marmots pika and others. I picked blueberries for breakfast right at our campsite. 

,
The road up has some potholes which aren't too bad but it's the washboarding that makes it so rough.  Especially if you have rear-wheel drive the gravel can be slippery once your vehicle starts vibrating over those.
Like the description says the incredible views start before you even start hiking.  This hike is stunning.  There were quite a few people on the trail but everyone was super friendly - all on a natural high from the beauty around us I think.  Also it's a long enough trail that you get breaks of solitude as well which I always appreciate.
I started around 9am and there were still parking spots in the lot.  I made Cascade Pass pretty easily and really loved the view. There are a lot of spots to sit and just soak it in.  There were pikas and marmots once I cleared the forest and then periodically most of the rest of the hike.  
After Cascade Pass I went for Sahale Arm.  If you don't want to go all the way up going up to where you have views of Doubtful Lake is a nice plan.  The trail is much steeper after the Pass.  I saw grouse various other birds and somehow missed a bear that about 50 other hikers got to watch I was told.  Bummer! 
I didn't get all the way to the end but just about half way up the final scramble.  My legs were jelly so I'll have to go back and try for the rest of it another time.  I highly recommend this hike but definitely know your limits.  Hiking poles would have been super useful.  I usually hike with dogs so I'm not used to bringing poles along. (NO dogs allowed on this trail) Also even though I didn't ever feel particularly thirsty or hot I packed 2.5 liters of water and ran out on my descent just past Cascade Pass.  So make sure you take plenty of water also.  
",53
54,Cathedral Rock — Washington Trails Association,"
Only 3 stars WTA? But this hike is so beautiful! It’s got lakes views fall colors and of course Cathedral Rock itself. We even saw deer ok the trail late in the day. A wonderful hike with a mostly gradual incline.
",54
55,"Cave Hole, Nike Horse Trail, Clay Pit Road, Fred's Railroad, By Pass Trail — Washington Trails Association","
Cougar Mountain Trails Map
Hike GPS data for Google Earth viewing
Per Garmin 1.86 miles/142 vertical feet.
Parking: Parked on 166th Way SE outside of the County gate up to the Sky Country lot at about 7 PM.
(1) Remember the County can lock it's Issaquah Alps gates at any point after dusk.  And the sun is setting sooner than you might think.  So if you are out late in the afternoon park outside the gate so they don't lock you in.
(2) Even if you are not going out in pitch black bring a light.  It gets darker under the tree cover than you would expect fast.  And this is a slippery time of year when visibility is key.  My favorite headlamp is Fenix.
Trail: Wet with some puddles but not muddy.  Pretty good traction despite the rain.  Autumn color is encroaching but there is still plenty of green.
Wildlife: Interesting fungi plenty of birds and an adorable family of deer that were confused by my headlamp.
",55
56,Cedar Downs — Washington Trails Association,"
Apple iPhone directions did not take us to the right place based on trail coordinates but written directions were perfect to access small parking lot at start of the trail.Two parents and a 3 year old. Very easy and short trail we took the outer route which was around 2 miles total with limited gradient. No rain and in the lower 70s.Pros - In addition to amazing old growth treeslots of nature including woodpeckers snakes and multiple varieties of mushrooms. Start of fall foliage with some colorful leaves. Great neighborhood park trail comparable to Carkeek park or Discovery Park in Seattle.Cons - You can hear lots of highway and aircraft noise which made it feel very much like an urban park. Signage was very limited so be sure to take a pic of the trails at the start (looks like they are working on new signs?) Would not describe this as a destination hike for people outside of the immediate area but rather a great local resource.
",56
57,Cedar Falls - Cedar Creek — Washington Trails Association,"
Great hike for kids. 4 year old did well on it and the 2 year old walked a portion of it on the way back. A bit tricky to get to the bottom of the falls so one adult stayed with the dog and the 2 year old up top. Still a great view of the upper falls if you're not inclined to do a bit of a scramble down. Perfect spot to have a snack or eat lunch and the trail is shaded from trees most of the way . Took a little over 2 hours including breaks for snacks and a little exploring.
",57
58,Chain Lakes Loop — Washington Trails Association,"
Chain Lakes had been on my list for several years after reading about it in Craig Romano's 100 Classic Hikes book.  I drove up from Seattle and got a fairly late start arriving around 1pm.  I parked at Bagley Lakes as the book advised and easily found a parking spot despite it being Labor Day.  I headed to the right on the trail as the route is described in the book.  There were dozens of families investigating the small trails around Bagley Lake.  Most of the families with small children disappeared around the .7 mile mark when the trail branches off at an arched bridge and begins to climb.  From that point on the trail climbs fairly steeply up talus slopes as it switchbacks up the ridge.  I continued to pass quite a few hikers - the majority hiking in the opposite direction - and noted in particular the variety of languages I heard.  I'm pretty sure I caught Mandarin Japanese German and Dutch. The top of the ridge was a great place to admire Mount Shuksan and to have a snack.  Mount Baker unfortunately was mostly hiding in the clouds.  From the ridge the trail descends moderately to pass by numerous beautiful alpine lakes.  Although it was September there were still many wildflowers in bloom including lupine lush monkeyflower and ""mouse on a stick"".  I lost the majority of the hikers at this point and only passed hikers every 10 minutes or so.  There was a profusion of perfectly ripe huckleberries near the lakes (and later in the trail as well).  I have rarely seen so many berries and quite a few families near the picnic areas at Austin Pass and Heather Meadows were gathering the berries in small containers they had brought with them.  It looked like a great family activity.  From the beautiful lakes the trail climbs up to the junction with Ptarmigan Ridge trail and circles around to Artist Point.  This is where I saw the majority of the wildlife - many pikas ""eeping"" marmots whistling and even a mountain goat high on the ridge.  The trail was bit hard to find at Artist Point but I found it across the parking lot next to some rest rooms - you descend steeply cross the road and then descend extremely steeply via log steps to Austin's Pass.  At Austin's Pass I lost the trail again in the parking area.  I briefly hiked what turned out to be a deer path but rejoined with the main trail and returned to the Bagley Parking lot.  Overall this is a beautiful hike with varied terrain wildlife galore and spectacular mountain views - just don't expect a lot of solitude. 
,



Today I just did an out and back to the far lake right before you would go over the saddle.
Blissfully had this usually overcrowded trail nearly to myself the entire time up until I almost reached the parking lot again. Hiked in the clouds for half the way but it cleared a bit near the lakes. Loved the drizzle and sometimes rain... must be what kept most people away for so long. Thanks to the quiet I was able to see far more birds than I usually do. And couldn't believe my ears when I could sit at a lake and take in the sound of the rain without interruption of someone's radio or a large group of loud people shattering the glorious rhythm. 
,
It ended up being a very wet hike. It was drizzling or raining most of the hike. Rain gear and waterproof shoes/boots are recommended this time of year. I did the hike clockwise from Artist Point. Most people were doing the trail counter clockwise. My reason was I wanted to get near Mazama Lake ASAP. I met the WTA BCRT crew near Iceberg Lake and delivered some hot chocolate and banana bread. Thanks for working on the trail! I continued my hike meeting other hikers and trail runners. I finished the 6.2 miles loop in 3.5 hours of hiking. Best piece of equipment was the Outdoor Research Seattle Sombrero Gore-Tex Hat.
,
Drizzly dripping hike that announced fall is here.  We prefer uphill so went counterclockwise to rid ourselves of the descent quickly. We were happy with this choice. Lakes and wildflowers were beautiful and we grazed on blueberries for most of the hike.  Everyone we encountered on the trail was cheery despite the rain.
We saw some WTA volunteers digging through tree roots and mud and making the paths clear. Thanks for the work guys!!
The last 1.2 miles back to Artists Point was all wind and rain on our completely soaked clothing and was a bit brutal especially because we knew on a good day we’d be looking at awesome views instead of clouds. Being socked in seems to be a theme for us this summer :)
Go now! Especially if the day is clear!
,
Beautiful hike but still a bit smokey. You can still smell some smoke in the air and the more distant mountain views were obscured by Smokey haze. Otherwise the lakes were beautiful there are still plenty of wild flowers and now lots of berries. We saw marmot and mountain goats. Very few bugs even by the lakes. The trail is in good condition but parts are pretty rocky and exposed. It was a bit rough on our dogs paws. We hiked clockwise to break up the evelavation gain. There seemed to be about an equal number of people going clockwise and counter clockwise. There were lots of people at the visitor center but most didn’t seem to be hiking very far out on the trails.
,
Drove up to Artist Point getting stuck behind work trucks several times on 542 (line painting and road oiling). Not many people there on the Tuesday after labor day and started on the Wild Goose trail. Trail was in great shape and then my canine companion and I headed over to Bagley. Chain Lakes trail was clear and we only passed a couple of groups the whole time. Lakes were gorgeous and people were swimming/wading in them all. The berries are ripe and the foliage is starting to turn. We got to see an otter in Hayes and a mountain goat on the ledge on the stretch of trail back to Artist point so keep your eyes open! There are signs up for continuing road.work on 542 for this week so plan ahead!
,
Perfect day for a hike. We started at Artist Point @ 9:30. Only a few vehicles in the lot. We started by heading down to Bagley lake first. Going counter clock wise. I feel like it would have been easier going the opposite way seems like there would have been less of a climb. Lots of blueberries. The chain lakes are beautiful and there are amazing views of the mountain peaks. So picturesque! Pack lots of water the elevation gain definitely caused for workout. We enjoyed lunch at the top of the first gain. By the time we were 1/2 around the loop there were a lot more people on the hike. When we got back to the lot it was packed and people were driving around looking for parking. 
",58
59,"Chain Lakes Loop, Ptarmigan Ridge — Washington Trails Association","
We did a combo Chain Lakes/Ptarmigan Ridge for a trail run totaling ~12.5 miles. It was amazing. We went counter-clockwise and started down the Wild Goose trail from Artist Point. We turned left after the stone bridge and continued up toward Herman Saddle. Running was too much work so we hiked most of this section :) Gorgeous views from the top with both mountains out to play. We enjoyed a feast of blueberries as we meandered through the lakes and up toward the Ptarmigan Ridge trail. We continued on that trail until a cairn and another junction that went toward a beautiful turquoise lake in the distance. We'll definitely come back and check that out sometime. There were a few snowfields but nothing horrible and we managed fine in our trail runners and occasionally a hiking pole. Some of the rocks and gravel were a bit slippery so watch your step. A rock that appears to be on solid ground just might make you slide down the mountain if you're not careful. Eek! We did Ptarmigan around this time last year and there was quite a bit more snow so this was a pleasant surprise. Fall colors were starting to come out but there were also a ton of wildflowers so it was the best of both worlds! I'd highly recommend continuing on the Ptarmigan trail. You start to feel as though you could just walk up Mt. Baker. Definitely one of our favorite parts of the state.
",59
60,Chambers Bay Loop — Washington Trails Association,"
This loop is so pretty! I don't know why it took me so long to try this one out. I drove over there on my lunch break and parked down in the lower lot. There was a lot of parking spots available at around 12:50pm. There is a little loop away from the golf course that leads to a bridge over the train tracks and to some beach access. The big loop that goes around the gold course was more hilly in sections than I expected but that part was shaded by trees (unless you go the other direction; the switchbacks going up the hill from the parking lot are in the sun). There were quite a few blackberry bushes in the shaded section. There was a big playground for children and more parking by there. I didn't see the off-leash dog area that is supposedly over there but I assume it is behind the playground area more in the woods. 
",60
61,Chelan Lakeshore Trail — Washington Trails Association,"
We took the ferry from Fields Point to Prince Creek and camped at Moore Point about 11 miles in. Smoke was very light the first day with good visibility. We saw and nearly stepped on 3 rattlesnakes between meadow creek and Moore point usually resting under brush at the trails edge. I’d recommend loose pants and using hiking poles to help alert snakes as you walk. The rangers said it’s a “popular” trail for rattlesnakes. About 1/2 mile east of the Moore Point turnoff we noticed bear scat on the trail. At this point we decided to sing and talk loudly especially when approaching tall brush and berries. We saw 2 bear cubs about 100 feet away and then mama bear poking her head above all the brush to scan the area. We spoke loudly and backed away slowly.  She and the cubs ran away from us and up the hill into the cliffs. It was not a scary encounter but reminds us to be diligent and responsible when out in nature. 
Moore Point can fit 100 people but we had it all to ourselves!  It was a beautiful spot to camp on the water and look at the stars from the dock. There were many yellow jacket bees at camp and whenever we stopped to eat. They were annoying but went away as soon as we packed away food. 
The next morning we took off for Stehekin about 7 miles away.  We had to walk across a large tree at one point as it had made the trail impassible.  There were a few other spots where you had to step over small trees.  
The smoke was heavier this day but still a very enjoyable hike.  
This was a great short notice trip as it didn’t require permits to camp at Moore point. I really enjoyed it!  

",61
